SiteCode,Lat,Lon
060111002,211826.609,-2084889.7468
060130002,77103.7257,-2125251.7023
060131004,87473.9485,-2150723.6015
060190011,-96678.6046,-1978785.3255
060190500,-77766.5825,-1963659.5086
060192009,-99446.5026,-2032642.9251
060195001,-94290.4499,-1973197.7282
060195025,-103891.925,-1977124.4137
060231004,429785.8676,-2199312.0059
060231005,423843.3222,-2203206.2659
060250005,-627197.2729,-1724747.3063
060250007,-593414.892,-1722398.6505
060251003,-613126.3131,-1728878.3758
060270002,-65218.7901,-1845630.0597
060271003,-168534.25,-1831451.0178
060290010,-263309.745,-1955869.6973
060290011,-317700.9463,-1892585.9072
060290014,-265912.1705,-1958868.3422
060290015,-265959.6625,-1837886.6799
060290016,-270378.9469,-1956291.5298
060310004,-174443.1871,-1981355.3561
060311004,-149992.2457,-1981679.1327
060333001,214840.6721,-2160795.9276
060370002,-420792.7406,-1898081.8821
060371103,-421949.931,-1925667.6703
060371201,-401162.7657,-1948018.0467
060371302,-440193.7485,-1928240.303
060371602,-431146.0529,-1913797.6515
060372005,-416949.8582,-1915439.0017
060374002,-448884.0779,-1928976.884
060374004,-452558.2324,-1928635.2468
060374008,-444808.9415,-1928963.3825
060392010,-72999.8036,-1995055.8641
060410001,92611.5129,-2163281.3408
060450006,234123.7953,-2179075.808
060452002,265337.7885,-2181828.2886
060470003,-29003.3774,-2017852.6767
060472510,-25099.4687,-2020763.9729
060530002,-83226.4329,-2146476.4479
060530008,-127932.4129,-2105972.3115
060531003,-64027.331,-2132607.3609
060550003,123335.6522,-2134819.785
060570005,193540.0905,-2008920.1348
060571001,185477.2016,-1936614.3307
060590007,-453435.2844,-1907422.851
060592022,-480529.5516,-1890288.4895
060610003,162603.5884,-2021402.0083
060610006,146030.7386,-2040180.0597
060631006,266054.2093,-1978584.1
060631010,242716.6874,-1946006.6062
060650009,-512238.9039,-1844652.2176
060651016,-463784.5975,-1809919.6469
060652002,-501394.5382,-1763181.2415
060655001,-479440.0224,-1787519.7299
060658001,-446042.5063,-1858479.9985
060658005,-444884.9078,-1865164.4135
060670006,134235.6593,-2052211.948
060670010,131137.149,-2063762.3767
060670012,137083.3969,-2034060.9854
060674001,130152.4069,-2061102.7293
060690002,-54725.7143,-2105824.8958
060710027,-438542.3005,-1874796.0544
060712002,-433655.0969,-1862343.4047
060718001,-428563.644,-1804786.9448
060719004,-437355.4659,-1843632.9328
060730001,-600989.8961,-1862900.5472
060731010,-591548.5502,-1868971.7625
060731011,-604811.16,-1800251.918
060731016,-576539.1747,-1863060.4237
060731018,-582686.9343,-1850264.9679
060731022,-586241.7526,-1848912.1303
060731201,-521412.1274,-1846962.1068
060750005,67793.9893,-2160250.5551
060771002,61219.3659,-2064562.0306
060772010,43956.9507,-2067778.3479
060792004,-267897.3912,-2095182.4167
060792006,-240252.1571,-2096990.448
060792007,-266092.4433,-2096511.7327
060798002,-214902.6575,-2089610.6968
060811001,33045.2205,-2153613.4033
060831008,-278465.8317,-2086786.618
060832004,-311305.8136,-2097620.2723
060832011,-346240.9205,-2050449.2163
060850002,-33207.5061,-2118219.1115
060850005,11462.3366,-2133145.6787
060850006,9301.1172,-2129852.0647
060870007,-25138.4476,-2152119.5926
060871005,-14465.7881,-2157268.3583
060890004,363550.8193,-2070475.2021
060932001,494442.5936,-2051915.5419
060950004,99791.1753,-2136809.6829
060970004,145569.8563,-2172987.2094
060990005,22007.0932,-2052066.6213
060990006,2045.3853,-2044050.0406
061010003,195900.2711,-2055740.1821
061030007,320330.4005,-2072814.4357
061072002,-155727.8322,-1952221.0254
061110007,-392703.191,-1976302.0608
061110009,-373158.1057,-1965834.9802
061111004,-359267.283,-2000136.5364
061112002,-389628.4813,-1958689.6884
061113001,-382208.634,-1998177.7638
061131003,147579.4032,-2079457.5519
080010008,16265.9189,-718145.3105
080050005,-7832.8878,-727107.8859
080130003,54707.247,-727427.7369
080130012,40170.0347,-741993.498
080310002,8129.6167,-722935.7114
080310026,11397.223,-724032.787
080310027,6249.7123,-725363.8335
080310028,11995.6552,-722631.6441
080350004,-15148.5657,-731964.9386
080410017,-92922.6049,-719902.1389
080450019,1890.9617,-970681.3433
080450020,6595.033,-913188.1198
080677001,-255642.9841,-971355.6963
080677003,-256798.7931,-991916.5262
080690009,99474.9054,-721239.2272
080770017,-33425.6503,-1019320.8231
080930002,-39900.7132,-808914.8569
081010015,-157929.726,-707120.5669
081030006,81315.3564,-1019572.4969
081230006,79289.9207,-693382.3208
081230008,57478.6061,-704890.9418
090010010,354283.8243,1779050.1677
090011123,374034.0187,1753851.8566
090030025,428990.9528,1801415.298
090031003,431374.3485,1804685.2553
090050005,422289.8569,1753366.9206
090090027,374065.206,1797685.089
090092123,398086.159,1780053.3764
090110124,396240.6682,1858853.991
100010002,74000.5595,1652148.7677
100010003,92920.4905,1651052.7236
100031003,158983.7414,1638073.9163
100031007,131965.5479,1624369.142
100031008,137121.9027,1633835.6192
100031012,146674.3912,1618612.5305
100032004,155449.036,1633418.3701
100051002,37007.6402,1656088.1918
110010042,36122.9141,1537105.1595
110010043,41427.2407,1537723.6168
110010051,39498.6905,1543116.9462
120010023,-1047595.6406,1258813.876
120090007,-1202224.2398,1450847.3315
120110034,-1414488.3208,1523751.7501
120110035,-1404427.2755,1530586.8815
120112003,-1385805.62,1534534.8243
120115005,-1386916.3769,1526860.2825
120170005,-1130669.81,1247026.4318
120310032,-965711.9799,1316487.7719
120310098,-989835.25,1320463.3298
120310099,-964616.9169,1324478.8759
120310108,-975540.1215,1320719.1559
120330004,-1012136.3051,806468.5175
120570113,-1240566.2315,1280298.0414
120573002,-1236097.5557,1302356.3993
120710005,-1380267.4531,1358803.1881
120730012,-992115.3947,1068371.0823
120860033,-1427868.4912,1519223.8887
